"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","MRLN",74.7917948708604,3.28711949968342,0.547286983004844,3.793331805587e-12,5.59516441324082e-08
"2","COL4A1",712.962149161148,2.11662689192551,0.363536398559661,2.25225302783844e-11,1.66103660803085e-07
"3","B2M",949.866514368494,2.76478328846799,0.486947685879832,1.22034066853751e-10,6.00000828697611e-07
"4","COL4A2",914.157329391171,1.55160979621973,0.303121573753457,3.42604443664041e-09,1.26335388601115e-05
"5","RASGRF2",169.603746963941,2.11887667323782,0.445785206285284,1.10414602831105e-08,3.25723078351761e-05
"6","AFAP1",320.712032585993,1.69862811046407,0.353940775595446,2.66694757895744e-08,6.55624613160371e-05
"7","NNMT",263.328240657487,3.43640208629666,0.740360074643328,3.48999750793842e-08,7.35392332029881e-05
"8","ACTA1",91.869305913355,2.91702956832651,0.645034188165307,8.08239559616906e-08,0.000119215335043494
"9","ANXA6",122.750762882403,1.58920283523616,0.341962891555088,6.70318766515906e-08,0.000119215335043494
"10","YWHAH",352.800874112821,-1.05569074669773,0.224632608870358,7.79767641385307e-08,0.000119215335043494
"11","NAPRT",11.4733027349784,-1.86516938572516,0.383037022397229,9.47076162267786e-08,0.000126994303576817
"12","HSPA2",717.669799580326,1.37488054982741,0.300788762667957,1.09922795913735e-07,0.000135113436643966
"13","PM20D1",14.6326981176439,2.67073156469591,0.635828189476645,1.31961062246029e-07,0.000149725051394533
"14","AC234031.1",11.3217837141693,2.83167399165661,0.658231889859122,2.15749723989647e-07,0.000227307744917664
"15","NMI",70.8230527012866,1.25025754885424,0.280139318301132,3.46397647009267e-07,0.000340624352892446
"16","MFSD13A",57.9065829551592,-1.08458533198521,0.242440382124399,4.97317645171091e-07,0.0004584647041421
"17","CLSTN2",8.39997130385216,-3.13492001725354,0.726274062135275,7.56769514710886e-07,0.000620130574554754
"18","ISM2",243.495332893493,1.71790775695457,0.429180118661117,7.22073227599534e-07,0.000620130574554754
"19","ARRB1",202.311763427697,-1.23958746702182,0.287919620509068,8.75381275386452e-07,0.000679572305892114
"20","CCR1",64.6108765734105,1.50108288001406,0.379387194844022,1.02569867344932e-06,0.000756452771668874
"21","TMEM63A",42.494330446857,-0.747648383915321,0.176295213695639,1.23316321281549e-06,0.000866150351858499
"22","GBP2",76.0836627327834,1.81881028583503,0.481283244194624,1.32616916999533e-06,0.000889136148065049
"23","NLRP9",36.792115258751,1.68993149639897,0.443095732426752,1.41943909961419e-06,0.000910292466056929
"24","NECTIN1",105.915448739285,-1.3431011049855,0.324085451623771,1.55808823234289e-06,0.000957575059460734
"25","CCKBR",1036.27745217211,-1.15456785441164,0.279676620855893,1.96517608266058e-06,0.00115945388876974
"26","MPP1",199.01512829226,-1.36863654287746,0.348989268582718,2.31584315601856e-06,0.00131379563658745
"27","PLXNA2",142.803905864416,-0.979386246736914,0.242512494970964,2.66955022464743e-06,0.00145836540050184
"28","IQCG",93.5277330578771,-1.80573520876458,0.594218161311344,3.08474901717872e-06,0.00151955629230436
"29","EMB",14.2446823419382,-1.60712487224717,0.407492947955821,3.03254893961075e-06,0.00151955629230436
"30","ADAM19",396.35118250572,1.18818521033658,0.320507259056715,3.09062296739871e-06,0.00151955629230436
"31","CLN8",121.281043216727,-0.57355489878024,0.144441149886114,3.43906722174476e-06,0.00158587369871954
"32","MAOA",176.664192391756,1.84054716888726,0.494576886374046,3.44053954976443e-06,0.00158587369871954
"33","C8orf31",123.098821023909,1.2710647191916,0.363535458062166,3.86805458288383e-06,0.00172890318477384
"34","ASRGL1",89.1341059989419,-1.03397747666553,0.264751352370208,4.84424247112803e-06,0.00202630220316806
"35","FSTL3",390.596598479689,2.50072678356259,0.761219535587414,4.85139977987185e-06,0.00202630220316806
"36","LAIR2",242.082854429333,3.33727324655453,1.71994229693342,4.9455511399356e-06,0.00202630220316806
"37","LRRC32",137.43184069285,2.3763914787793,0.77771283731656,6.73277795763953e-06,0.00268401283446441
"38","FAM118A",76.5982652240682,-1.29660629082313,0.337645750683019,7.1123256074774e-06,0.00276070533448136
"39","ADGRG6",171.636575210318,1.85227172574552,0.584945059171345,9.35144233935223e-06,0.00344834436263614
"40","MMP12",43.2965463983441,10.3144543020923,4.12008578915046,9.23036962383104e-06,0.00344834436263614
"41","SMPDL3B",123.045107621795,-1.25217749200163,0.342876093078425,1.02953537788652e-05,0.00370381629849419
"42","SLC41A1",172.21719781038,0.979194921658108,0.280136896675656,1.0703700553856e-05,0.00373238173101314
"43","UTRN",291.227773262363,-1.82896841454426,0.519790122170524,1.10441300032649e-05,0.00373238173101314
"44","PARVA",671.406215648689,0.553223458744391,0.150666139284864,1.11338844857341e-05,0.00373238173101314
"45","ANGPT4",989.440954999276,1.39714298456715,0.455473304235838,1.24383581768002e-05,0.00407701740239561
"46","TUBB3",105.097325401668,0.886049035366769,0.255630232459017,1.40034603931405e-05,0.00449024001736571
"47","TACR3",53.5634809452903,1.65842538156916,0.496111897372989,1.49362362343797e-05,0.00468743583951279
"48","TAP1",110.058932925643,1.49103173382581,0.468335051108649,1.63136673861625e-05,0.00485697693557461
"49","FAM78A",31.2376572238683,1.32737265641802,0.369555895896537,1.67936151670715e-05,0.00485697693557461
"50","ATP2C2",39.9481465807915,-1.40047578177071,0.417297057279529,1.66605015262177e-05,0.00485697693557461
"51","SLC7A4",18.7071203429588,-0.0662428438778197,0.136438588698374,1.64216246031035e-05,0.00485697693557461
"52","HPGD",41.9828908242312,2.11747350913661,0.659925703301097,1.73273300404763e-05,0.00491496380955817
"53","TMSB10",11214.0224719169,0.907630611064531,0.27465429173131,1.78052606535442e-05,0.00495523763471277
"54","SMC3",510.374329294486,-0.359153630367515,0.0974472354316437,1.89861217992053e-05,0.00518602400996813
"55","PHETA2",16.5966563799145,1.64990167694726,0.53652215180367,1.94208729216491e-05,0.00520832501080588
"56","EPGN",6.37611584759665,3.51788798492661,1.25016049771847,2.16101321604676e-05,0.00533882405297618
"57","TAP2",32.2151182146414,1.96188597351239,0.58249748150239,2.21385442368945e-05,0.00533882405297618
"58","LY6K",14.6453726184959,2.69095810930996,1.01916485314132,2.1467277031873e-05,0.00533882405297618
"59","C9orf129",9.46197655837235,2.26952577623133,0.716831029636081,2.02941129568103e-05,0.00533882405297618
"60","ALG9",106.209693944807,1.18999722962428,0.360097023882282,2.19418293918329e-05,0.00533882405297618
"61","SLC6A2",11.3776357659649,1.87107412607511,0.558956894217243,2.1575000528865e-05,0.00533882405297618
"62","CSF2RB",26.5085722700006,1.66254829514656,0.527194034288214,2.24411587311541e-05,0.00533882405297618
"63","LAMA4",5.94329228673087,3.5898769068287,1.14997843380554,2.31448183420974e-05,0.00541882651660217
"64","C3orf20",15.5987691951343,-1.6458489253151,0.46646362537039,2.40360298171267e-05,0.00550233435253293
"65","ELOVL2",9.4959438232645,2.73242506039669,0.877079256975089,2.4247575112857e-05,0.00550233435253293
"66","ITGA5",469.484426814669,0.967273885415606,0.304724262982691,2.49996226810034e-05,0.00558703688704242
"67","C15orf48",14.3050167089424,2.67155237446387,0.897715845089626,2.59072573732725e-05,0.00570346337695178
"68","MCTP2",256.901392674691,1.37973506114308,0.481723265236526,3.01185745360676e-05,0.00653307315304408
"69","FN1",208.644184833149,2.41998099060272,1.16302561152578,3.50816058967542e-05,0.00749932879676991
"70","C18orf54",98.6417791292914,0.58560961354836,0.174147602088802,3.77375377863919e-05,0.00795183831927544
"71","ITGAV",94.4574690254333,1.05295685340799,0.337890473059257,4.04892631891057e-05,0.00818104975396315
"72","CRYBA2",56.119720849563,0.904055921240395,0.276240760597145,4.01896267771749e-05,0.00818104975396315
"73","PRUNE2",24.9851321139209,1.28259355503575,0.403362823959982,4.01851507316969e-05,0.00818104975396315
"74","PEX1",49.5003020261755,-0.59753608177482,0.182764851331784,4.20903247804178e-05,0.00827776387348217
"75","SFXN3",24.9589632804817,1.75190402791668,0.565115389211313,4.18311267403199e-05,0.00827776387348217
"76","AC119673.2",16.5334871815555,1.60797468461015,0.517560227723724,4.47762340578361e-05,0.00869012437306688
"77","ERVH48-1",408.098164389321,0.587984356823366,0.179330256681976,4.58962333123381e-05,0.00879181092671411
"78","C12orf75",421.352340593839,1.24488722479015,0.419826371821057,4.84455666417771e-05,0.00916118087136169
"79","WIPF1",307.255035497219,1.31015056346917,0.477668905956009,4.99191687104055e-05,0.00932035111998077
"80","SH3BGRL2",83.0541313186142,-0.722241612525841,0.222911561399072,5.13360297839408e-05,0.00946508049141409
"81","SLCO4A1",594.658429217577,0.664737194819363,0.210188311289575,5.4662372560857e-05,0.00995395055892149
"82","FLT4",34.662548111772,1.82307163576077,0.63474972094127,5.54169559102303e-05,0.00996829389848655
"83","SFT2D2",170.642413749463,0.586322405592692,0.180871514836933,5.62947590230214e-05,0.0100041891034887
"84","LANCL1",27.5282464822721,0.797935769093471,0.251832125326306,5.7511399834826e-05,0.0100987279471867
"85","FRMD4A",145.571562846311,1.04786111620367,0.341200953858798,6.35738155571007e-05,0.0110319268172616
"86","AC090796.1",89.1335296363061,1.75089281160118,0.659854098936409,6.84300180790385e-05,0.0117365437984397
"87","PRDM9",17.1651756097429,2.59378476294361,1.04262759860408,8.05587131683547e-05,0.0136579427498073
"88","SIRPA",29.8562483693422,-0.968905170215953,0.321494706769726,8.32782549610938e-05,0.013958571144047
"89","VGLL3",170.854964330195,2.01883996523967,1.01869828391534,8.50220417742847e-05,0.0140907316423674
"90","IL1RAP",141.593904251635,1.36036091057061,0.53277133619852,8.71502002701073e-05,0.014282949488712
"91","NOS2",77.6848978463948,1.7740706519158,0.649215388803596,8.88661633422806e-05,0.0144041308714136
"92","STX3",130.589225735656,-0.812211343794902,0.262321960781543,9.03212381760252e-05,0.0144808506858301
"93","ELOVL4",95.1954187025507,1.08637376786998,0.38978087352245,9.24052258351819e-05,0.0145643404803263
"94","MYO7A",58.6238191807964,-1.07449502338149,0.362495120695027,9.28168139085204e-05,0.0145643404803263
"95","SCARB2",110.539256909795,0.419044660860173,0.136083970166304,0.000102205263626866,0.0158687119841713
"96","CSRP1",830.684391293189,1.15095471040004,0.438537731388328,0.000108286426929325,0.0166377583042452
"97","THSD7A",73.9910522689056,1.48795414507042,0.636284205064664,0.000113521225831834,0.0172622482579334
"98","PROS1",22.4775060599359,1.10844429410192,0.384045336835569,0.000116375767185649,0.0174215767503915
"99","CRIP1",255.702882122967,-1.27747034301899,0.456678378442295,0.000116931260900933,0.0174215767503915
"100","EPAS1",318.868878860008,1.05378143958541,0.407994615547685,0.000120229307560682,0.0177338228652006
"101","PVR",42.2143591967932,1.28073815281055,0.431943527662224,0.000121483649736034,0.0177414240951139
"102","MIR181A2HG",57.800700506409,1.33227268790608,0.457774609704039,0.000123375294904009,0.0177604051241727
"103","SPDYC",13.3483662309996,1.13712002091254,0.396067995044205,0.000124506220826819,0.0177604051241727
"104","SIK3",490.308369754812,-1.18772198549102,0.406236009840015,0.0001252259073162,0.0177604051241727
"105","GALNT2",788.077194106284,0.734359071537927,0.266656187920104,0.000129071697149732,0.0179604484241372
"106","SNX8",81.8999709398707,-0.819740980283792,0.287715263297904,0.000129014247769567,0.0179604484241372
"107","C1QTNF6",219.57467608746,1.17135952119671,0.469099587750952,0.000130518641748587,0.0179920557550623
"108","KRT7",782.689434426962,0.824687274898488,0.309238424185854,0.000136882942535169,0.0186946611332754
"109","AL353604.1",7.19360238966983,-0.0476481018044139,0.11750041238727,0.000144058964150754,0.0194437949432557
"110","GREM2",87.3754140820271,-1.13243490063064,0.404599013211989,0.000146322795844162,0.0194437949432557
"111","ADGRV1",34.5214236638354,-0.944835603875402,0.307181265602951,0.000145250896964942,0.0194437949432557
"112","PNMA8A",3.8797465160949,-1.93403928767441,0.677466654473857,0.000153998478221269,0.020281049587176
"113","ESAM",23.7449815768366,1.90349537757246,0.85960855010586,0.000156026784121132,0.0203663280158114
"114","MMP2",1307.67735737434,1.24384448408036,0.511530717023881,0.000160345162302431,0.0207464135435163
"115","CCNB1",3249.77859368511,1.10338811286988,0.412637071177934,0.000163801480248868,0.0210093202927896
"116","CBWD1",162.234179056849,-0.417864519407152,0.141466703965464,0.000168200225138918,0.0213875286275779
"117","SYK",16.8525598994427,-0.932377509735132,0.318600730775905,0.000170289819523858,0.0214681610083496
"118","MIR548XHG",94.9468039486738,-0.104749412830456,0.212283861332328,0.000175230996399793,0.0219038745499741
"119","TMEM87B",105.579096064315,0.60932566047332,0.226921796584953,0.000181691418803049,0.0225127041742047
"120","PCED1B",24.4946424113423,1.10855987979794,0.414094754983672,0.000183154203451157,0.0225127041742047
"121","SMIM22",20.8195481075993,-1.48959856629523,0.536299538524633,0.000184778485094259,0.022524650042482
"122","TM4SF1",7.1278705869257,0.0196636157491149,0.103212605236464,0.000188170807107427,0.0227501590560209
"123","TFCP2L1",40.7655920739281,-1.34967347267195,0.48862174061261,0.000194294314565557,0.02311549567324
"124","ID1",188.191085745855,1.34489378841324,0.556613459524251,0.00019432687888012,0.02311549567324
"125","SERPINB6",460.766204640091,1.3137649273946,0.554598032456776,0.000196128612217775,0.0231431762416975
"126","SNAI1",70.5760648463908,0.829579854634449,0.318036070783371,0.000202530130817787,0.023708884361606
"127","ANKRD36B",52.6360162999408,-0.765298248547064,0.26220734118883,0.000205738685249536,0.0237742152444085
"128","EBI3",4.61507161733567,3.17641783935822,1.33729955364604,0.000206311833985375,0.0237742152444085
"129","TACC2",292.554606411449,-1.17108766899829,0.459947959199775,0.000213496747005838,0.0242236693718162
"130","TGFB1",125.091093017607,1.29543722962279,0.588600930404315,0.000212293712223939,0.0242236693718162
"131","PLAC8",110.243722261567,1.24519549767347,0.487665152221098,0.000219489519432433,0.0247135145925831
"132","TEAD4",84.2878859625968,-0.768516798522775,0.2740112629266,0.00022815468264405,0.0253028689398476
"133","HAPLN3",39.0584857713849,2.84144878863468,1.52276378023645,0.000227353913855147,0.0253028689398476
"134","ERBB2",377.250797713851,0.725504248836188,0.288869491037433,0.000232772047221099,0.025622296242621
"135","ADAM10",330.020333431575,0.417191907384271,0.144534529440142,0.000238019129588295,0.0260057937883508
"136","AC103409.1",12.4003206078327,-1.1194925704009,0.403070361772168,0.000248977288892843,0.0270030515527164
"137","FLVCR1-DT",4.97063067890911,1.57939072464273,0.610065994270721,0.000254434276265801,0.0273467555681656
"138","SLC25A15",108.531662536375,1.10468406681441,0.445102730466131,0.000255854391078431,0.0273467555681656
"139","AC108052.1",69.6344384779555,1.22888708318321,0.47490126098989,0.000259386206880211,0.0275247953344109
"140","TAC4",7.65455961653164,-1.14847347179945,0.458176578148756,0.000268197569937838,0.0282565296898794
"141","MAMDC2",84.9612983824252,1.05935718821041,0.396262099000396,0.00027137907555482,0.0283889458470467
"142","HPDL",23.7488363007907,-1.05019346632838,0.417580420464012,0.000276482014889464,0.0287190825325324
"143","TUBB6",562.846521083853,0.92393546758765,0.384683536831407,0.000287055229080366,0.0296088435589888
"144","COL5A1",11.2274062394346,1.41245631614506,0.722854214472865,0.000292701854294119,0.0299717687880817
"145","SLC7A8",612.28800660162,-0.890331756514609,0.325781839070748,0.000294637727069277,0.0299717687880817
"146","IQGAP2",24.0042891379145,-0.0941709151001309,0.182705777202395,0.000316195246738571,0.0315127019553643
"147","GPR146",46.8185838651249,1.41322460333175,0.695866063038875,0.000314856711155712,0.0315127019553643
"148","CLEC1A",424.915967926457,0.686985447907822,0.280485352566651,0.000314122484581016,0.0315127019553643
"149","SLC27A2",38.7070411618349,-1.47665117485005,0.568830764905015,0.000331520040208045,0.0328182590138837
"150","NUTM2B-AS1",93.5433272278172,-0.774539733438036,0.296278767622602,0.000337464063654073,0.0331839662593172
"151","ARHGEF2",54.9475395087803,0.824716098701536,0.312824536101236,0.000348003846348838,0.0339550529102408
"152","SLC16A3",348.824414803685,0.913788501478087,0.373173294393812,0.000349909697786888,0.0339550529102408
"153","CD24",480.811666864559,0.837624834712891,0.308488735520123,0.000359329865580886,0.0346412778909678
"154","ASAH1",174.538638017856,-0.434812779202385,0.160984074322523,0.000363808622727006,0.0348453063975542
"155","SYDE1",140.56746900867,1.24080130150463,0.576774103329295,0.000369786272319623,0.0351893388175125
"156","PMP22",29.829679856116,0.974883901671842,0.428260506202552,0.000372537285757981,0.035223877980322
"157","GABRE",82.9285549232924,-0.696371797388726,0.267876659162222,0.000375682972113604,0.0352950562972972
"158","LRRK1",66.1057783608256,0.702917750354392,0.278510740311437,0.000380849124360966,0.0355539530653433
"159","SLC38A6",106.260991790239,-0.662416788434282,0.258155239038566,0.000392258507943135,0.0363887609569889
"160","GPATCH11",148.660607132808,0.444486447442081,0.168259302916707,0.00040572571878984,0.0371147298850199
"161","MFSD6",18.9637753570285,-1.4545405524804,0.546038540376516,0.000407632965516828,0.0371147298850199
"162","TMEM200A",21.6085365482139,1.32536987003984,0.504743256459396,0.000406283157972589,0.0371147298850199
"163","DBN1",44.5335589721312,-0.797226857164275,0.322618689609482,0.000415849047691728,0.037401057643006
"164","MTSS2",53.4053592830949,1.03206187892377,0.470959541568561,0.000415056703041081,0.037401057643006
"165","EIF2AK2",488.173718700487,0.48144535457325,0.190469975205965,0.000419067476400871,0.0374620925873506
"166","SLC7A9",3.55416682865468,2.18593546606907,0.860164873819805,0.000432587374708355,0.0384377335960737
"167","GLIPR1",48.4775564122536,1.89235711656427,1.04376731742521,0.000443560866939967,0.0390921094963078
"168","RPRML",11.1646670467192,-0.0692927940751309,0.138648567391012,0.000445252501381675,0.0390921094963078
"169","EFHD2",255.671767035447,0.389772312847183,0.150867072072241,0.000448896070024283,0.0391787990109951
"170","TIMP2",74.1108445175712,0.88863637565069,0.408252929170032,0.000461281523192952,0.0400229556888002
"171","MAPKAPK3",22.4595148735188,-1.06246526618476,0.447629163340563,0.000472973651711854,0.0406486308822632
"172","PXDC1",230.944405182607,0.737088703268017,0.346371716299388,0.000474004373677917,0.0406486308822632
"173","COL27A1",424.664866913956,1.09568148357049,0.610473275869059,0.000478791127037034,0.0408217868427529
"174","CHCHD10",323.1745572135,-0.749169621542952,0.366503430041042,0.000485605350374579,0.04116482136796
"175","DNMT1",730.224501587555,-0.402856466848306,0.153439547804991,0.000492351831794825,0.0414982258227067
"176","SLBP",121.578044896436,-0.729879412991048,0.29509028599688,0.000498892029336322,0.041727043743566
"177","BSPRY",14.1326852409244,-1.08549469067808,0.439804799924005,0.000500724524922792,0.041727043743566
"178","ASAP3",137.59178023414,0.504861694663678,0.197219944507564,0.000506755743754943,0.0417534506591658
"179","P4HA1",157.912675893905,0.583425597427314,0.242664383352316,0.000509533635162701,0.0417534506591658
"180","POGLUT2",33.3188274015454,0.967262070045876,0.403822743003483,0.000509012133457272,0.0417534506591658
"181","CRIPT",144.645014341172,0.543445607415356,0.224241666327838,0.00054410393649511,0.0440963355126531
"182","SLC7A11",229.520318823833,-0.795689566819981,0.331475308503562,0.000541355125426741,0.0440963355126531
"183","UBE2F",488.475452845123,0.651285884177459,0.280168605217191,0.000564391019648868,0.0454905330044853
"184","SATB1-AS1",15.9370375113726,-0.741327680897708,0.30765774412532,0.000574678347882566,0.045571313381239
"185","FAM114A1",11.5663514065318,1.31156995752736,0.668036471929698,0.000576697836641108,0.045571313381239
"186","AL356515.1",9.47379350730849,1.44120721148548,0.635928504630112,0.000570377508492482,0.045571313381239
"187","WWC3",19.1847345649888,-1.07935930850857,0.430856189651237,0.000577751566257065,0.045571313381239
"188","OPRK1",8.7028769363777,1.22234699814177,0.508934687470866,0.000585367676794777,0.0456834562577935
"189","SUPT16H",817.443729145271,-0.225420769691854,0.0791076947273603,0.000583573709491067,0.0456834562577935
"190","PAG1",34.3174255875777,1.46098295865711,0.835707372510315,0.000601711128893001,0.0467117850061672
"191","SLC39A8",105.337078778828,1.09409414857758,0.543710790546196,0.00062363785554169,0.047909679006458
"192","AC211433.1",144.948953069047,0.012858610280415,0.101530534427599,0.000622017997930254,0.047909679006458
"193","MCAM",155.779312915736,0.953595066757828,0.529593325346995,0.00063315457971147,0.0483887567396072
"194","WDSUB1",50.4855988933018,0.91061461377209,0.431394098986524,0.000652179319236084,0.0487090591866607
"195","PXYLP1",10.3179604284035,1.50891794048784,0.759406960091834,0.000647841458446739,0.0487090591866607
"196","GLI3",19.1705769097944,1.55150834596627,0.868260039981472,0.000663764128577546,0.0487090591866607
"197","DEPDC7",74.5096191819017,1.79517231340002,1.43240039951939,0.000660798436751893,0.0487090591866607
"198","MFAP5",525.708726214479,1.45700023363852,0.825623895948117,0.000663450947805645,0.0487090591866607
"199","ACAN",15.7828891772665,0.0254467052855289,0.104951196010184,0.000657813923127816,0.0487090591866607
"200","SLC52A1",19.7629070608322,-1.01339635188341,0.480800642252266,0.00064325071499707,0.0487090591866607
"201","TGM2",106.706779935996,1.51993077344431,0.877221379619729,0.0006622346558673,0.0487090591866607
"202","SNX31",6.62988825261851,-0.0327280081154622,0.108098066323753,0.000683434796685106,0.0499042735203233
